sample	region	count
DJL286	A	3
DJL297	A	2
ESP9057	A	2
ESP9070	A	9
ESP9480	A	1
ESP9485	A	1
ESP9606	A	1
TCWC93505	A	1
ESP9557	A	1
ESP9064	B	1
ESP9325	B	3
MTH468	B	1
MTH469	B	1
MTH470	B	1
MTH472	B	1
MTH474	B	1
MTH475	B	5
MTH478	B	1
MTH489	B	4
MTH490	B	1
TCWC92573	B	1
ESP9179	B	1
ESP9261	B	1
ESP9264	B	7
ESP9273	B	2
ESP9174	C	1
ESP9186	C	1
ESP9196	B	1
ESP9196	C	7
ESP9208	C	1
ESP9232	C	1
ESP9417	C	1
MTH270	C	1
MTH275	C	1
NM12_04	C	1
NM12_07	C	1
NM12_08	C	1
NM12_09	C	1
DJL868	D	36
DJL869	D	3
DJL870	D	1
DJL872	D	1
DJL878	D	1
DL902	D	1
DL914	D	1
ESP9092	D	1
ESP9147	D	2
ESP9340	D	1
ESP9351	D	1
ESP9357	D	1
ESP9451	D	1
ESP9621	D	1
LMC10_02	D	2
TCWC91345	D	1
TCWC94831	D	1
DED046	D	2
DED049	D	1
DED051	D	1
DL916	D	1
ESP9245	D	2
ESP9258	D	1
CSA043	EA	8
CSA059	EA	1
CSA061	EA	1
TJH2966	EA	3
TJH2971	EA	6
TJH2984	EA	1
TJH3000	EA	2
TJH3033	EA	1
DED075	EB	1
TJH2880	EB	1
TJH2918	EB	1
TJH2927	EB	2
TJH2939	EB	2
TX2011_286	EB	1
TJH2840	EC	1
TJH2846	EC	1
TX2011_241	EC	1
2010_7	D	3
ESP9202	D	2
LAF10450	EC	3
MSB57684	C	1
MSB57694	A	1
MSB57705	A	1
SAR0003	B	2
SAR0023	A	1
SAR0200	B	1
SAR0204	D	1
SAR0226	A	1
SAR0227	A	1
SAR0229	A	1
SAR0252	D	2
SAR0259	D	1
SAR0261	D	1
SAR0262	D	1
SAR0264	D	1
SAR0351	D	1
SAR0361	A	1
SAR0379	D	1
SAR0381	D	1
SAR0383	D	1
SCAR08	B	1
SCAR09	B	1
SCAR10_2	D	1
SCAR31	B	1
SCAR33	B	1
SCAR34	B	1
SCAR35	B	1
TX2012_001	EB	1
